,Datetime,opens,high,low,close,ema6,ema12,ema24,Entry,labels,prediction,profit,Performance,Trades
0,2017-03-14,24.885000228881836,26.530000686645508,24.877500534057617,26.517499923706055,25.934713912206803,25.60425597631427,23.556295053773642,nn,nn,nn,5.133472446498054,nn,1
1,2017-03-21,26.69499969482422,27.489999771118164,26.325000762939453,26.86750030517578,26.20122431019794,25.79860125767758,23.821191473885815,nn,nn,nn,5.133472446498054,nn,1
2,2017-03-28,26.395000457763672,27.5,25.895000457763672,27.232500076293945,26.495874529082514,26.01920107592625,24.094096162078465,nn,nn,nn,5.133472446498054,nn,1
3,2017-04-04,27.237499237060547,27.412500381469727,24.602500915527344,25.082500457763672,26.09205336584856,25.875093288516624,24.17316850573328,nn,nn,nn,5.133472446498054,nn,1
4,2017-04-11,25.09000015258789,25.157499313354492,23.872499465942383,23.872499465942383,25.457895108732508,25.56700193119751,24.149114982550007,nn,nn,nn,5.133472446498054,nn,1
5,2017-04-12,24.002500534057617,32.60749816894531,23.950000762939453,31.97249984741211,28.133124828338623,28.133124828338623,28.133124828338623,25.157499313354492,32.60749816894531,29.13597298055567,5.133472446498054,2038.0,1
6,2018-03-27,59.5,62.5,54.25,57.897499084472656,59.315708545448686,58.228582596582875,54.74019177722173,nn,nn,nn,3.567331439613554,nn,2
7,2018-04-03,57.185001373291016,58.662498474121094,53.26750183105469,53.5625,57.67193467532049,57.510723735570124,54.64597643504399,nn,nn,nn,3.567331439613554,nn,2
8,2018-04-10,54.20000076293945,59.377498626708984,53.650001525878906,57.875,57.72995333951464,57.566766237790105,54.90429832024047,nn,nn,nn,3.567331439613554,nn,2
9,2018-04-17,57.942501068115234,59.8125,56.70000076293945,57.1775016784668,57.572110007786684,57.506879382509595,55.08615458889858,nn,nn,nn,3.567331439613554,nn,2
10,2018-04-24,57.35749816894531,57.875,52.57500076293945,56.58250045776367,57.28936442206582,57.36466724024099,55.20586225840779,nn,nn,nn,3.567331439613554,nn,2
11,2018-04-25,56.747501373291016,65.125,55.54999923706055,62.31999969482422,59.935625076293945,59.935625076293945,59.935625076293945,57.875,65.125,60.31483281290457,3.567331439613554,617.0,2
12,2018-10-23,57.81999969482422,58.83000183105469,48.279998779296875,49.5724983215332,59.512985017010585,62.125033894987155,62.26650359308805,nn,nn,nn,-5.079998016357422,nn,3
13,2018-10-30,50.997501373291016,55.5,44.002498626708984,53.72999954223633,57.860703452789366,60.83349014841011,61.58358326901992,nn,nn,nn,-5.079998016357422,nn,3
14,2018-11-06,53.59749984741211,54.352500915527344,50.2599983215332,51.41749954223633,56.01978804977421,59.384876208998755,60.77029657087723,nn,nn,nn,-5.079998016357422,nn,3
15,2018-11-13,50.494998931884766,51.720001220703125,40.40250015258789,41.10749816894531,51.75913379810881,56.57297189514438,59.19727269872268,nn,nn,nn,-5.079998016357422,nn,3
16,2018-11-20,40.4474983215332,40.45500183105469,33.32749938964844,36.25,47.32795271293487,53.44636083435294,57.36149088282486,nn,nn,nn,-5.079998016357422,nn,3
17,2018-11-21,37.47249984741211,43.66999816894531,32.1150016784668,32.39250183105469,36.41250038146973,36.41250038146973,36.41250038146973,40.45500183105469,43.66999816894531,50.72161033750292,-5.079998016357422,-1255.0,3
18,2018-11-20,40.4474983215332,40.45500183105469,33.32749938964844,36.25,47.32795271293487,53.44636083435294,57.36149088282486,nn,nn,nn,7.60999870300293,nn,4
19,2018-11-27,37.47249984741211,40.96500015258789,36.63999938964844,40.85749816894531,45.47925141465214,51.509612731982536,56.0411714657145,nn,nn,nn,7.60999870300293,nn,4
20,2018-12-04,43.150001525878906,43.66999816894531,36.404998779296875,36.90250015258789,43.028751054062354,49.2623646428449,54.51007776066437,nn,nn,nn,7.60999870300293,nn,4
21,2018-12-11,36.45000076293945,38.97249984741211,36.20500183105469,36.61249923706055,41.19553624920469,47.31623150349346,53.07827147877607,nn,nn,nn,7.60999870300293,nn,4
22,2018-12-18,36.310001373291016,37.58250045776367,32.1150016784668,32.39250183105469,38.68038355830469,45.020273092349036,51.423409906958355,nn,nn,nn,7.60999870300293,nn,4
23,2018-12-19,31.622499465942383,39.494998931884766,31.114999771118164,39.23249816894531,35.366249084472656,35.366249084472656,35.366249084472656,37.58250045776367,39.494998931884766,47.31142315862599,7.60999870300293,2024.0,4
24,2018-11-27,37.47249984741211,40.96500015258789,36.63999938964844,40.85749816894531,45.47925141465214,51.509612731982536,56.0411714657145,nn,nn,nn,6.1875,nn,5
25,2018-12-04,43.150001525878906,43.66999816894531,36.404998779296875,36.90250015258789,43.028751054062354,49.2623646428449,54.51007776066437,nn,nn,nn,6.1875,nn,5
