Date,Open,High,Low,Close,EMA6,EMA12,EMA24,trades
1999-03-22 00:00:00,0.4466150104999542,0.44791701436042786,0.38020798563957214,0.43619799613952637,0.4319195032210775,,,1
1999-03-29 00:00:00,0.4492189884185791,0.4596349895000458,0.40494799613952637,0.42708298563957214,0.43053764105493314,,,1
1999-04-05 00:00:00,0.421875,0.45833298563957214,0.39583298563957214,0.4375,0.4325268864678094,0.42892783135175705,,1
1999-04-12 00:00:00,0.43229201436042786,0.43229201436042786,0.390625,0.4140630066394806,0.427251492231144,0.42664093524217606,,1
1999-04-19 00:00:00,0.41927099227905273,0.41927099227905273,0.35677099227905273,0.359375,0.40785820873653145,0.41629232982030284,,1
Month,0.359375,0.4453130066394806,0.33333298563957214,0.35416701436042786,,,,1
1999-03-29 00:00:00,0.4492189884185791,0.4596349895000458,0.40494799613952637,0.42708298563957214,0.43053764105493314,,,2
1999-04-05 00:00:00,0.421875,0.45833298563957214,0.39583298563957214,0.4375,0.4325268864678094,0.42892783135175705,,2
1999-04-12 00:00:00,0.43229201436042786,0.43229201436042786,0.390625,0.4140630066394806,0.427251492231144,0.42664093524217606,,2
1999-04-19 00:00:00,0.41927099227905273,0.41927099227905273,0.35677099227905273,0.359375,0.40785820873653145,0.41629232982030284,,2
1999-04-26 00:00:00,0.359375,0.39583298563957214,0.33333298563957214,0.38020798563957214,0.3999581449945431,0.4107408922540366,,2
Month,0.3841150104999542,0.4453130066394806,0.34375,0.3554689884185791,,,,2
1999-04-05 00:00:00,0.421875,0.45833298563957214,0.39583298563957214,0.4375,0.4325268864678094,0.42892783135175705,,3
1999-04-12 00:00:00,0.43229201436042786,0.43229201436042786,0.390625,0.4140630066394806,0.427251492231144,0.42664093524217606,,3
1999-04-19 00:00:00,0.41927099227905273,0.41927099227905273,0.35677099227905273,0.359375,0.40785820873653145,0.41629232982030284,,3
1999-04-26 00:00:00,0.359375,0.39583298563957214,0.33333298563957214,0.38020798563957214,0.3999581449945431,0.4107408922540366,,3
1999-05-03 00:00:00,0.3841150104999542,0.3841150104999542,0.34375,0.36458298563957214,0.38985095660740854,0.4036396758518113,,3
Month,0.36197900772094727,0.4453130066394806,0.34375,0.3554689884185791,,,,3
1999-04-12 00:00:00,0.43229201436042786,0.43229201436042786,0.390625,0.4140630066394806,0.427251492231144,0.42664093524217606,,4
1999-04-19 00:00:00,0.41927099227905273,0.41927099227905273,0.35677099227905273,0.359375,0.40785820873653145,0.41629232982030284,,4
1999-04-26 00:00:00,0.359375,0.39583298563957214,0.33333298563957214,0.38020798563957214,0.3999581449945431,0.4107408922540366,,4
1999-05-03 00:00:00,0.3841150104999542,0.3841150104999542,0.34375,0.36458298563957214,0.38985095660740854,0.4036396758518113,,4
1999-05-10 00:00:00,0.36197900772094727,0.40625,0.36197900772094727,0.375,0.385607826148149,0.39923357187460956,,4
Month,0.36979201436042786,0.4453130066394806,0.34375,0.3684900104999542,,,,4
1999-04-19 00:00:00,0.41927099227905273,0.41927099227905273,0.35677099227905273,0.359375,0.40785820873653145,0.41629232982030284,,5
1999-04-26 00:00:00,0.359375,0.39583298563957214,0.33333298563957214,0.38020798563957214,0.3999581449945431,0.4107408922540366,,5
1999-05-03 00:00:00,0.3841150104999542,0.3841150104999542,0.34375,0.36458298563957214,0.38985095660740854,0.4036396758518113,,5
1999-05-10 00:00:00,0.36197900772094727,0.40625,0.36197900772094727,0.375,0.385607826148149,0.39923357187460956,,5
1999-05-17 00:00:00,0.36979201436042786,0.4453130066394806,0.34375,0.35416701436042786,0.37662473706594296,0.39230025533396623,,5
Month,0.35677099227905273,0.3828130066394806,0.34114599227905273,0.34114599227905273,,,,5
1999-04-26 00:00:00,0.359375,0.39583298563957214,0.33333298563957214,0.38020798563957214,0.3999581449945431,0.4107408922540366,,6
1999-05-03 00:00:00,0.3841150104999542,0.3841150104999542,0.34375,0.36458298563957214,0.38985095660740854,0.4036396758518113,,6
1999-05-10 00:00:00,0.36197900772094727,0.40625,0.36197900772094727,0.375,0.385607826148149,0.39923357187460956,,6
1999-05-17 00:00:00,0.36979201436042786,0.4453130066394806,0.34375,0.35416701436042786,0.37662473706594296,0.39230025533396623,,6
1999-05-24 00:00:00,0.35677099227905273,0.37239599227905273,0.3476560115814209,0.3554689884185791,0.3705802374524104,0.3866339065777528,,6
Month,0.35416701436042786,0.3828130066394806,0.34114599227905273,0.35677099227905273,,,,6
1999-05-03 00:00:00,0.3841150104999542,0.3841150104999542,0.34375,0.36458298563957214,0.38985095660740854,0.4036396758518113,,7
1999-05-10 00:00:00,0.36197900772094727,0.40625,0.36197900772094727,0.375,0.385607826148149,0.39923357187460956,,7
1999-05-17 00:00:00,0.36979201436042786,0.4453130066394806,0.34375,0.35416701436042786,0.37662473706594296,0.39230025533396623,,7
1999-05-24 00:00:00,0.35677099227905273,0.37239599227905273,0.3476560115814209,0.3554689884185791,0.3705802374524104,0.3866339065777528,,7
1999-05-31 00:00:00,0.35416701436042786,0.35677099227905273,0.34375,0.3554689884185791,0.36626273772845863,0.3818393037840338,,7
Month,0.35742199420928955,0.40494799613952637,0.34114599227905273,0.40494799613952637,,,,7
1999-05-17 00:00:00,0.36979201436042786,0.4453130066394806,0.34375,0.35416701436042786,0.37662473706594296,0.39230025533396623,,8
1999-05-24 00:00:00,0.35677099227905273,0.37239599227905273,0.3476560115814209,0.3554689884185791,0.3705802374524104,0.3866339065777528,,8
1999-05-31 00:00:00,0.35416701436042786,0.35677099227905273,0.34375,0.3554689884185791,0.36626273772845863,0.3818393037840338,,8
